Completed 0 games, 2 rewards, 591 frames, score 1, max score 1
Completed 1 games, 3 rewards, 772 frames, score 0, max score 1
Completed 2 games, 5 rewards, 1140 frames, score 1, max score 1
Completed 3 games, 7 rewards, 1562 frames, score 1, max score 1
Completed 4 games, 8 rewards, 1816 frames, score 0, max score 1
Completed 5 games, 13 rewards, 2812 frames, score 4, max score 4
Completed 6 games, 14 rewards, 3066 frames, score 0, max score 4
Completed 7 games, 15 rewards, 3274 frames, score 0, max score 4
Completed 8 games, 16 rewards, 3482 frames, score 0, max score 4
Completed 9 games, 17 rewards, 3736 frames, score 0, max score 4
Completed 10 games, 18 rewards, 3990 frames, score 0, max score 4
Completed 11 games, 19 rewards, 4171 frames, score 0, max score 4
Completed 12 games, 21 rewards, 4569 frames, score 1, max score 4
Completed 13 games, 24 rewards, 5099 frames, score 2, max score 4
Completed 14 games, 25 rewards, 5307 frames, score 0, max score 4
Completed 15 games, 26 rewards, 5561 frames, score 0, max score 4
Completed 16 games, 27 rewards, 5742 frames, score 0, max score 4
Completed 17 games, 30 rewards, 6267 frames, score 2, max score 4
Completed 18 games, 32 rewards, 6672 frames, score 1, max score 4
Completed 19 games, 33 rewards, 6880 frames, score 0, max score 4
Completed 20 games, 34 rewards, 7088 frames, score 0, max score 4
Completed 21 games, 35 rewards, 7342 frames, score 0, max score 4
Completed 22 games, 36 rewards, 7523 frames, score 0, max score 4
Completed 23 games, 37 rewards, 7777 frames, score 0, max score 4
Completed 24 games, 38 rewards, 7985 frames, score 0, max score 4
Completed 25 games, 39 rewards, 8193 frames, score 0, max score 4
Completed 26 games, 40 rewards, 8447 frames, score 0, max score 4
Completed 27 games, 41 rewards, 8628 frames, score 0, max score 4
Completed 28 games, 42 rewards, 8836 frames, score 0, max score 4
Completed 29 games, 43 rewards, 9044 frames, score 0, max score 4
Completed 30 games, 44 rewards, 9225 frames, score 0, max score 4
Completed 31 games, 45 rewards, 9479 frames, score 0, max score 4
Completed 32 games, 46 rewards, 9687 frames, score 0, max score 4
Completed 33 games, 47 rewards, 9941 frames, score 0, max score 4
Completed 34 games, 48 rewards, 10149 frames, score 0, max score 4
Completed 35 games, 50 rewards, 10532 frames, score 1, max score 4
Completed 36 games, 51 rewards, 10786 frames, score 0, max score 4
Completed 37 games, 52 rewards, 10994 frames, score 0, max score 4
Completed 38 games, 54 rewards, 11454 frames, score 1, max score 4
Completed 39 games, 55 rewards, 11708 frames, score 0, max score 4
Completed 40 games, 56 rewards, 11962 frames, score 0, max score 4
Completed 41 games, 57 rewards, 12170 frames, score 0, max score 4
Completed 42 games, 58 rewards, 12424 frames, score 0, max score 4
Completed 43 games, 59 rewards, 12678 frames, score 0, max score 4
Completed 44 games, 60 rewards, 12886 frames, score 0, max score 4
Completed 45 games, 61 rewards, 13094 frames, score 0, max score 4
Completed 46 games, 62 rewards, 13275 frames, score 0, max score 4
Completed 47 games, 64 rewards, 13681 frames, score 1, max score 4
Completed 48 games, 66 rewards, 14109 frames, score 1, max score 4
Completed 49 games, 68 rewards, 14461 frames, score 1, max score 4
Completed 50 games, 70 rewards, 14889 frames, score 1, max score 4
Completed 51 games, 72 rewards, 15551 frames, score 1, max score 4
Completed 52 games, 74 rewards, 15934 frames, score 1, max score 4
Completed 53 games, 76 rewards, 16668 frames, score 1, max score 4
Completed 54 games, 77 rewards, 16849 frames, score 0, max score 4
Completed 55 games, 78 rewards, 17103 frames, score 0, max score 4
Completed 56 games, 81 rewards, 17679 frames, score 2, max score 4
Completed 57 games, 82 rewards, 17887 frames, score 0, max score 4
Completed 58 games, 83 rewards, 18068 frames, score 0, max score 4
Completed 59 games, 84 rewards, 18276 frames, score 0, max score 4
Completed 60 games, 85 rewards, 18457 frames, score 0, max score 4
Completed 61 games, 86 rewards, 18665 frames, score 0, max score 4
Completed 62 games, 87 rewards, 18846 frames, score 0, max score 4
Completed 63 games, 88 rewards, 19100 frames, score 0, max score 4
Completed 64 games, 89 rewards, 19354 frames, score 0, max score 4
Completed 65 games, 90 rewards, 19535 frames, score 0, max score 4
Completed 66 games, 91 rewards, 19743 frames, score 0, max score 4
Completed 67 games, 92 rewards, 19924 frames, score 0, max score 4
Completed 68 games, 93 rewards, 20178 frames, score 0, max score 4
Completed 69 games, 94 rewards, 20359 frames, score 0, max score 4
Completed 70 games, 96 rewards, 20757 frames, score 1, max score 4
Completed 71 games, 97 rewards, 20938 frames, score 0, max score 4
Completed 72 games, 99 rewards, 21336 frames, score 1, max score 4
Completed 73 games, 100 rewards, 21590 frames, score 0, max score 4
Completed 74 games, 103 rewards, 22210 frames, score 2, max score 4
Completed 75 games, 107 rewards, 23074 frames, score 3, max score 4
Completed 76 games, 108 rewards, 23282 frames, score 0, max score 4
Completed 77 games, 109 rewards, 23536 frames, score 0, max score 4
Completed 78 games, 110 rewards, 23790 frames, score 0, max score 4
Completed 79 games, 111 rewards, 24044 frames, score 0, max score 4
Completed 80 games, 112 rewards, 24298 frames, score 0, max score 4
Completed 81 games, 114 rewards, 24669 frames, score 1, max score 4
Completed 82 games, 116 rewards, 25245 frames, score 1, max score 4
Completed 83 games, 117 rewards, 25453 frames, score 0, max score 4
Completed 84 games, 120 rewards, 26048 frames, score 2, max score 4
Completed 85 games, 123 rewards, 26682 frames, score 2, max score 4
Completed 86 games, 124 rewards, 26936 frames, score 0, max score 4
Completed 87 games, 125 rewards, 27117 frames, score 0, max score 4
Completed 88 games, 126 rewards, 27298 frames, score 0, max score 4
Completed 89 games, 127 rewards, 27479 frames, score 0, max score 4
Completed 90 games, 128 rewards, 27660 frames, score 0, max score 4
Completed 91 games, 129 rewards, 27868 frames, score 0, max score 4
Completed 92 games, 130 rewards, 28076 frames, score 0, max score 4
Completed 93 games, 132 rewards, 28610 frames, score 1, max score 4
Completed 94 games, 134 rewards, 29161 frames, score 1, max score 4
Completed 95 games, 136 rewards, 29751 frames, score 1, max score 4
Completed 96 games, 137 rewards, 29932 frames, score 0, max score 4
Completed 97 games, 139 rewards, 30395 frames, score 1, max score 4
Completed 98 games, 140 rewards, 30576 frames, score 0, max score 4
Completed 99 games, 141 rewards, 30757 frames, score 0, max score 4
